"NH3",2.09566674E+00,6.14750045E-03,-2.00328925E-06,3.01334626E-10,-1.71227204E-14,-6.30945436E+03,9.59574081E+00
"NO",3.26071234E+00,1.19101135E-03,-4.29122646E-07,6.94481463E-11,-4.03295681E-15,9.92143132E+03,6.36900518E+00
"NOCl",0.61799190E+01,0.28500775E-03,0.17276529E-06,-0.30166754E-10,0.90192767E-15,0.56327606E+04,-0.43234813E+01
"N2",2.95257637E+00,1.39690040E-03,-4.92631603E-07,7.86010195E-11,-4.60755204E-15,-9.23948688E+02,5.87188762E+00
"N2H3",4.04483566E+00,7.31130186E-03,-2.47625799E-06,3.83733021E-10,-2.23107573E-14,2.57670362E+04,2.88423392E+00
"N2H4",4.93957357E+00,8.75017187E-03,-2.99399058E-06,4.67278418E-10,-2.73068599E-14,9.28265548E+03,-2.69439772E+00
"N2O",0.48230729E+01,0.26270251E-02,-0.95850872E-06,0.16000712E-09,-0.97752302E-14,0.80734047E+04,-0.22017208E+01
"N2O5",1.31108082E+01,4.87435791E-03,-1.87548389E-06,3.16374121E-10,-1.95926845E-14,-3.11634700E+03,-3.46877692E+01
"NO2",0.48847540E+01,0.21723955E-02,-0.82806909E-06,0.15747510E-09,-0.10510895E-13,0.23164982E+04,-0.11741695E+00
"NO3",7.48347734E+00,2.57772041E-03,-1.00945831E-06,1.72314072E-10,-1.07154015E-14,5.70919428E+03,-1.41618155E+01
"O",2.54363697E+00,-2.73162486E-05,-4.19029520E-09,4.95481845E-12,-4.79553694E-16,2.92260120E+04,4.92229457E+00
"O(1D)",2.49368475E+00,1.37617903E-05,-1.00401058E-08,2.76012182E-12,-2.01597513E-16,5.19986304E+04,4.65050950E+00
"O1D",2.49368475E+00,1.37617903E-05,-1.00401058E-08,2.76012182E-12,-2.01597513E-16,5.19986304E+04,4.65050950E+00
"O(3P)",2.54363697E+00,-2.73162486E-05,-4.19029520E-09,4.95481845E-12,-4.79553694E-16,2.92260120E+04,4.92229457E+00
"O3P",2.54363697E+00,-2.73162486E-05,-4.19029520E-09,4.95481845E-12,-4.79553694E-16,2.92260120E+04,4.92229457E+00
"O2",3.66096083E+00,6.56365523E-04,-1.41149485E-07,2.05797658E-11,-1.29913248E-15,-1.21597725E+03,3.41536184E+00
"O3",1.23302914E+01,-1.19324783E-02,7.98741278E-06,-1.77194552E-09,1.26075824E-13,1.26755831E+04,-4.08823374E+01
"OH",2.83853033E+00,1.10741289E-03,-2.94000209E-07,4.20698729E-11,-2.42289890E-15,3.69780808E+03,5.84494652E+00
"S",2.87936498E+00,-5.11050388E-04,2.53806719E-07,-4.45455458E-11,2.66717362E-15,3.25013791E+04,3.98140647E+00
"S2",3.98860690E+00,5.57750510E-04,-5.01892780E-08,-1.54703190E-11,2.66617710E-15,1.41980150E+04,4.49119159E+00
"S3",NA,NA,NA,NA,NA,NA,NA
"S4",NA,NA,NA,NA,NA,NA,NA
"S8_AER",NA,NA,NA,NA,NA,NA,NA
"SO",4.01428730E+00,2.70228170E-04,8.28966670E-08,-3.43237410E-11,3.11214440E-15,-7.10519560E+02,3.49973505E+00
"SO2",5.24513640E+00,1.97042040E-03,-8.03757690E-07,1.51499690E-10,-1.05580040E-14,-3.75582270E+04,-1.07404892E+00
"1SO2",NA,NA,NA,NA,NA,NA,NA
"3SO2",NA,NA,NA,NA,NA,NA,NA
"SO3",7.07573760E+00,3.17633870E-03,-1.35357600E-06,2.56309120E-10,-1.79360440E-14,-5.02113760E+04,-1.11875176E+01

